"Título de trazado: 20759041"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20759041, SEN S/N: 20759041, LBL: TempC)","Event, units (LGR S/N: 20759041, SEN S/N: 20759041, LBL: 0.2mm)","Acoplador adjunto (LGR S/N: 20759041)","Host conectado (LGR S/N: 20759041)","Acoplador separado (LGR S/N: 20759041)","Final de archivo (LGR S/N: 20759041)"
1,01/13/25 02:30:00 p.m.,21.187,0.00,,,,
2,01/13/25 03:00:00 p.m.,22.908,,,,,
3,01/13/25 03:30:00 p.m.,24.158,,,,,
4,01/13/25 04:00:00 p.m.,19.662,,,,,
5,01/13/25 04:30:00 p.m.,16.046,,,,,
6,01/13/25 05:00:00 p.m.,11.819,,,,,
7,01/13/25 05:30:00 p.m.,9.571,,,,,
8,01/13/25 06:00:00 p.m.,8.082,,,,,
9,01/13/25 06:30:00 p.m.,6.573,,,,,
10,01/13/25 07:00:00 p.m.,4.727,,,,,
11,01/13/25 07:30:00 p.m.,2.837,,,,,
12,01/13/25 08:00:00 p.m.,3.578,,,,,
13,01/13/25 08:30:00 p.m.,4.623,,,,,
14,01/13/25 09:00:00 p.m.,4.934,,,,,
15,01/13/25 09:30:00 p.m.,4.519,,,,,
16,01/13/25 10:00:00 p.m.,3.472,,,,,
17,01/13/25 10:30:00 p.m.,2.837,,,,,
18,01/13/25 11:00:00 p.m.,2.517,,,,,
19,01/13/25 11:16:10 p.m.,,1.00,,,,
20,01/13/25 11:26:17 p.m.,,2.00,,,,
21,01/13/25 11:30:00 p.m.,3.998,,,,,
22,01/14/25 12:00:00 a.m.,4.831,,,,,
23,01/14/25 12:30:00 a.m.,5.141,,,,,
24,01/14/25 12:42:33 a.m.,,3.00,,,,
25,01/14/25 01:00:00 a.m.,5.037,,,,,
26,01/14/25 01:10:50 a.m.,,4.00,,,,
27,01/14/25 01:30:00 a.m.,4.831,,,,,
28,01/14/25 02:00:00 a.m.,3.155,,,,,
29,01/14/25 02:30:00 a.m.,1.980,,,,,
30,01/14/25 03:00:00 a.m.,1.330,,,,,
31,01/14/25 03:30:00 a.m.,1.764,,,,,
32,01/14/25 04:00:00 a.m.,1.872,,,,,
33,01/14/25 04:30:00 a.m.,0.893,,,,,
34,01/14/25 05:00:00 a.m.,0.674,,,,,
35,01/14/25 05:30:00 a.m.,0.343,,,,,
36,01/14/25 06:00:00 a.m.,0.232,,,,,
37,01/14/25 06:30:00 a.m.,0.232,,,,,
38,01/14/25 07:00:00 a.m.,0.784,,,,,
39,01/14/25 07:30:00 a.m.,3.155,,,,,
40,01/14/25 08:00:00 a.m.,6.471,,,,,
41,01/14/25 08:30:00 a.m.,10.357,,,,,
42,01/14/25 09:00:00 a.m.,16.427,,,,,
43,01/14/25 09:30:00 a.m.,20.043,,,,,
44,01/14/25 10:00:00 a.m.,22.142,,,,,
45,01/14/25 10:30:00 a.m.,23.004,,,,,
46,01/14/25 11:00:00 a.m.,23.581,,,,,
47,01/14/25 11:30:00 a.m.,25.708,,,,,
48,01/14/25 12:00:00 p.m.,27.075,,,,,
49,01/14/25 12:30:00 p.m.,28.456,,,,,
50,01/14/25 01:00:00 p.m.,29.252,,,,,
51,01/14/25 01:30:00 p.m.,29.853,,,,,
52,01/14/25 02:00:00 p.m.,30.255,,,,,
53,01/14/25 02:30:00 p.m.,29.352,,,,,
54,01/14/25 03:00:00 p.m.,28.159,,,,,
55,01/14/25 03:30:00 p.m.,26.195,,,,,
56,01/14/25 04:00:00 p.m.,20.329,,,,,
57,01/14/25 04:30:00 p.m.,18.521,,,,,
58,01/14/25 05:00:00 p.m.,13.558,,,,,
59,01/14/25 05:30:00 p.m.,12.690,,,,,
60,01/14/25 06:00:00 p.m.,10.846,,,,,
61,01/14/25 06:30:00 p.m.,7.682,,,,,
62,01/14/25 07:00:00 p.m.,5.655,,,,,
63,01/14/25 07:30:00 p.m.,3.998,,,,,
64,01/14/25 08:00:00 p.m.,3.367,,,,,
65,01/14/25 08:30:00 p.m.,3.472,,,,,
66,01/14/25 09:00:00 p.m.,3.049,,,,,
67,01/14/25 09:30:00 p.m.,2.517,,,,,
68,01/14/25 10:00:00 p.m.,1.980,,,,,
69,01/14/25 10:30:00 p.m.,2.624,,,,,
70,01/14/25 11:00:00 p.m.,1.764,,,,,
71,01/14/25 11:30:00 p.m.,1.003,,,,,
72,01/15/25 12:00:00 a.m.,0.343,,,,,
73,01/15/25 12:30:00 a.m.,-0.662,,,,,
74,01/15/25 01:00:00 a.m.,-1.456,,,,,
75,01/15/25 01:30:00 a.m.,-1.914,,,,,
76,01/15/25 02:00:00 a.m.,-2.145,,,,,
77,01/15/25 02:30:00 a.m.,-2.494,,,,,
78,01/15/25 03:00:00 a.m.,-2.727,,,,,
79,01/15/25 03:30:00 a.m.,-2.727,,,,,
80,01/15/25 04:00:00 a.m.,-2.844,,,,,
81,01/15/25 04:30:00 a.m.,-2.727,,,,,
82,01/15/25 05:00:00 a.m.,-2.962,,,,,
83,01/15/25 05:30:00 a.m.,-3.672,,,,,
84,01/15/25 06:00:00 a.m.,-3.553,,,,,
85,01/15/25 06:30:00 a.m.,-3.079,,,,,
86,01/15/25 07:00:00 a.m.,-2.377,,,,,
87,01/15/25 07:30:00 a.m.,-0.102,,,,,
88,01/15/25 08:00:00 a.m.,4.519,,,,,
89,01/15/25 08:30:00 a.m.,10.553,,,,,
90,01/15/25 09:00:00 a.m.,18.711,,,,,
91,01/15/25 09:30:00 a.m.,23.581,,,,,
92,01/15/25 10:00:00 a.m.,26.390,,,,,
93,01/15/25 10:30:00 a.m.,28.060,,,,,
94,01/15/25 11:00:00 a.m.,29.053,,,,,
95,01/15/25 11:30:00 a.m.,30.457,,,,,
96,01/15/25 12:00:00 p.m.,25.416,,,,,
97,01/15/25 12:30:00 p.m.,25.125,,,,,
98,01/15/25 01:00:00 p.m.,22.621,,,,,
99,01/15/25 01:30:00 p.m.,22.046,,,,,
100,01/15/25 02:00:00 p.m.,19.758,,,,,
101,01/15/25 02:30:00 p.m.,20.138,,,,,
102,01/15/25 03:00:00 p.m.,23.292,,,,,
103,01/15/25 03:30:00 p.m.,18.616,,,,,
104,01/15/25 04:00:00 p.m.,16.618,,,,,
105,01/15/25 04:30:00 p.m.,16.046,,,,,
106,01/15/25 05:00:00 p.m.,16.141,,,,,
107,01/15/25 05:30:00 p.m.,12.980,,,,,
108,01/15/25 06:00:00 p.m.,10.651,,,,,
109,01/15/25 06:30:00 p.m.,7.983,,,,,
110,01/15/25 07:00:00 p.m.,6.775,,,,,
111,01/15/25 07:30:00 p.m.,6.573,,,,,
112,01/15/25 08:00:00 p.m.,5.655,,,,,
113,01/15/25 08:30:00 p.m.,4.102,,,,,
114,01/15/25 09:00:00 p.m.,3.893,,,,,
115,01/15/25 09:30:00 p.m.,2.410,,,,,
116,01/15/25 10:00:00 p.m.,0.893,,,,,
117,01/15/25 10:30:00 p.m.,-0.325,,,,,
118,01/15/25 11:00:00 p.m.,-0.437,,,,,
119,01/15/25 11:30:00 p.m.,-0.102,,,,,
120,01/16/25 12:00:00 a.m.,-0.662,,,,,
121,01/16/25 12:30:00 a.m.,-0.662,,,,,
122,01/16/25 01:00:00 a.m.,1.112,,,,,
123,01/16/25 01:30:00 a.m.,1.872,,,,,
124,01/16/25 02:00:00 a.m.,2.088,,,,,
125,01/16/25 02:30:00 a.m.,1.221,,,,,
126,01/16/25 03:00:00 a.m.,1.003,,,,,
127,01/16/25 03:30:00 a.m.,0.563,,,,,
128,01/16/25 04:00:00 a.m.,-0.325,,,,,
