"Título de trazado: LDCapSwampHoboTRH"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20744890, SEN S/N: 20744890, LBL: TempC)","HR, % (LGR S/N: 20744890, SEN S/N: 20744890, LBL: %)","Acoplador separado (LGR S/N: 20744890)","Acoplador adjunto (LGR S/N: 20744890)","Host conectado (LGR S/N: 20744890)","Final de archivo (LGR S/N: 20744890)"
1,01/13/25 02:30:00 p.m.,15.079,57.286,Registrado,,,
2,01/13/25 03:00:00 p.m.,17.582,51.751,,,,
3,01/13/25 03:30:00 p.m.,17.677,50.895,,,,
4,01/13/25 04:00:00 p.m.,15.151,57.146,,,,
5,01/13/25 04:30:00 p.m.,12.461,67.547,,,,
6,01/13/25 05:00:00 p.m.,10.100,74.473,,,,
7,01/13/25 05:30:00 p.m.,9.089,78.712,,,,
8,01/13/25 06:00:00 p.m.,8.170,82.062,,,,
9,01/13/25 06:30:00 p.m.,6.965,84.168,,,,
10,01/13/25 07:00:00 p.m.,5.539,85.919,,,,
11,01/13/25 07:30:00 p.m.,3.932,87.688,,,,
12,01/13/25 08:00:00 p.m.,4.350,91.490,,,,
13,01/13/25 08:30:00 p.m.,4.973,93.205,,,,
14,01/13/25 09:00:00 p.m.,5.231,94.319,,,,
15,01/13/25 09:30:00 p.m.,4.792,94.845,,,,
16,01/13/25 10:00:00 p.m.,3.985,95.120,,,,
17,01/13/25 10:30:00 p.m.,3.380,95.446,,,,
18,01/13/25 11:00:00 p.m.,3.036,96.036,,,,
19,01/13/25 11:30:00 p.m.,4.350,96.886,,,,
20,01/14/25 12:00:00 a.m.,4.973,97.254,,,,
21,01/14/25 12:30:00 a.m.,5.154,97.451,,,,
22,01/14/25 01:00:00 a.m.,5.076,97.600,,,,
23,01/14/25 01:30:00 a.m.,4.895,97.672,,,,
24,01/14/25 02:00:00 a.m.,3.433,97.409,,,,
25,01/14/25 02:30:00 a.m.,2.557,97.503,,,,
26,01/14/25 03:00:00 a.m.,1.859,97.691,,,,
27,01/14/25 03:30:00 a.m.,2.450,98.242,,,,
28,01/14/25 04:00:00 a.m.,2.370,98.268,,,,
29,01/14/25 04:30:00 a.m.,1.643,98.301,,,,
30,01/14/25 05:00:00 a.m.,1.425,98.430,,,,
31,01/14/25 05:30:00 a.m.,1.262,98.527,,,,
32,01/14/25 06:00:00 a.m.,1.017,98.647,,,,
33,01/14/25 06:30:00 a.m.,1.071,98.758,,,,
34,01/14/25 07:00:00 a.m.,1.697,98.961,,,,
35,01/14/25 07:30:00 a.m.,3.906,99.329,,,,
36,01/14/25 08:00:00 a.m.,5.949,99.476,,,,
37,01/14/25 08:30:00 a.m.,7.167,99.285,,,,
38,01/14/25 09:00:00 a.m.,10.149,97.943,,,,
39,01/14/25 09:30:00 a.m.,13.666,82.361,,,,
40,01/14/25 10:00:00 a.m.,16.129,69.292,,,,
41,01/14/25 10:30:00 a.m.,17.320,60.619,,,,
42,01/14/25 11:00:00 a.m.,18.033,52.433,,,,
43,01/14/25 11:30:00 a.m.,19.984,48.982,,,,
44,01/14/25 12:00:00 p.m.,20.889,42.369,,,,
45,01/14/25 12:30:00 p.m.,22.250,37.242,,,,
46,01/14/25 01:00:00 p.m.,23.064,36.269,,,,
47,01/14/25 01:30:00 p.m.,22.441,31.626,,,,
48,01/14/25 02:00:00 p.m.,23.064,37.061,,,,
49,01/14/25 02:30:00 p.m.,22.393,35.708,,,,
50,01/14/25 03:00:00 p.m.,20.627,39.979,,,,
51,01/14/25 03:30:00 p.m.,19.841,41.928,,,,
52,01/14/25 04:00:00 p.m.,17.463,45.033,,,,
53,01/14/25 04:30:00 p.m.,15.199,46.954,,,,
54,01/14/25 05:00:00 p.m.,11.856,69.669,,,,
55,01/14/25 05:30:00 p.m.,11.734,72.563,,,,
56,01/14/25 06:00:00 p.m.,10.100,76.905,,,,
57,01/14/25 06:30:00 p.m.,8.145,80.208,,,,
58,01/14/25 07:00:00 p.m.,6.560,85.383,,,,
