"Título de trazado: 20759044_LDCapRG"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 20759044, SEN S/N: 20759044)","Event, mm (LGR S/N: 20759044, SEN S/N: 20759044)","Acoplador adjunto (LGR S/N: 20759044)","Host conectado (LGR S/N: 20759044)","Acoplador separado (LGR S/N: 20759044)","Final de archivo (LGR S/N: 20759044)"
1,12/16/25 02:00:00 p.m.,25.805,0.0,,,,
2,12/16/25 03:00:00 p.m.,23.388,,,,,
3,12/16/25 04:00:00 p.m.,20.710,,,,,
4,12/16/25 05:00:00 p.m.,12.690,,,,,
5,12/16/25 06:00:00 p.m.,8.382,,,,,
6,12/16/25 07:00:00 p.m.,3.998,,,,,
7,12/16/25 08:00:00 p.m.,1.980,,,,,
8,12/16/25 09:00:00 p.m.,2.088,,,,,
9,12/16/25 10:00:00 p.m.,0.784,,,,,
10,12/16/25 11:00:00 p.m.,-0.102,,,,,
11,12/17/25 12:00:00 a.m.,0.232,,,,,
12,12/17/25 01:00:00 a.m.,0.232,,,,,
13,12/17/25 02:00:00 a.m.,-0.102,,,,,
14,12/17/25 03:00:00 a.m.,0.232,,,,,
15,12/17/25 04:00:00 a.m.,1.656,,,,,
16,12/17/25 05:00:00 a.m.,2.730,,,,,
17,12/17/25 06:00:00 a.m.,2.624,,,,,
18,12/17/25 07:00:00 a.m.,3.788,,,,,
19,12/17/25 08:00:00 a.m.,12.401,,,,,
20,12/17/25 09:00:00 a.m.,14.900,,,,,
21,12/17/25 10:00:00 a.m.,17.570,,,,,
22,12/17/25 11:00:00 a.m.,15.378,,,,,
23,12/17/25 12:00:00 p.m.,19.092,,,,,
24,12/17/25 01:00:00 p.m.,17.570,,,,,
25,12/17/25 02:00:00 p.m.,18.236,,,,,
26,12/17/25 03:00:00 p.m.,18.616,,,,,
27,12/17/25 04:00:00 p.m.,16.237,,,,,
28,12/17/25 05:00:00 p.m.,12.980,,,,,
29,12/17/25 06:00:00 p.m.,8.182,,,,,
30,12/17/25 07:00:00 p.m.,3.261,,,,,
31,12/17/25 08:00:00 p.m.,2.624,,,,,
32,12/17/25 09:00:00 p.m.,1.330,,,,,
33,12/17/25 10:00:00 p.m.,1.330,,,,,
34,12/17/25 11:00:00 p.m.,0.893,,,,,
35,12/18/25 12:00:00 a.m.,2.195,,,,,
36,12/18/25 01:00:00 a.m.,1.872,,,,,
37,12/18/25 02:00:00 a.m.,1.330,,,,,
38,12/18/25 03:00:00 a.m.,1.980,,,,,
39,12/18/25 04:00:00 a.m.,2.195,,,,,
40,12/18/25 05:00:00 a.m.,3.683,,,,,
41,12/18/25 06:00:00 a.m.,3.261,,,,,
42,12/18/25 07:00:00 a.m.,5.244,,,,,
43,12/18/25 07:01:14 a.m.,,0.2,,,,
44,12/18/25 08:00:00 a.m.,7.481,,,,,
45,12/18/25 09:00:00 a.m.,15.378,,,,,
46,12/18/25 10:00:00 a.m.,17.379,,,,,
47,12/18/25 11:00:00 a.m.,14.230,,,,,
48,12/18/25 12:00:00 p.m.,19.853,,,,,
49,12/18/25 01:00:00 p.m.,19.758,,,,,
50,12/18/25 02:00:00 p.m.,14.134,,,,,
51,12/18/25 03:00:00 p.m.,16.903,,,,,
52,12/18/25 04:00:00 p.m.,12.594,,,,,
53,12/18/25 05:00:00 p.m.,11.528,,,,,
54,12/18/25 06:00:00 p.m.,7.582,,,,,
55,12/18/25 07:00:00 p.m.,6.573,,,,,
56,12/18/25 08:00:00 p.m.,5.552,,,,,
57,12/18/25 09:00:00 p.m.,3.367,,,,,
58,12/18/25 10:00:00 p.m.,2.195,,,,,
59,12/18/25 11:00:00 p.m.,1.764,,,,,
60,12/19/25 12:00:00 a.m.,1.548,,,,,
61,12/19/25 01:00:00 a.m.,1.221,,,,,
62,12/19/25 02:00:00 a.m.,0.784,,,,,
63,12/19/25 03:00:00 a.m.,0.121,,,,,
64,12/19/25 04:00:00 a.m.,1.003,,,,,
65,12/19/25 05:00:00 a.m.,1.221,,,,,
66,12/19/25 06:00:00 a.m.,-0.437,,,,,
67,12/19/25 07:00:00 a.m.,0.010,,,,,
68,12/19/25 08:00:00 a.m.,13.846,,,,,
69,12/19/25 09:00:00 a.m.,21.855,,,,,
70,12/19/25 10:00:00 a.m.,21.664,,,,,
71,12/19/25 11:00:00 a.m.,18.996,,,,,
72,12/19/25 12:00:00 p.m.,17.379,,,,,
73,12/19/25 01:00:00 p.m.,13.654,,,,,
74,12/19/25 02:00:00 p.m.,20.424,,,,,
75,12/19/25 03:00:00 p.m.,20.424,,,,,
76,12/19/25 04:00:00 p.m.,14.900,,,,,
77,12/19/25 05:00:00 p.m.,10.357,,,,,
78,12/19/25 06:00:00 p.m.,8.680,,,,,
79,12/19/25 07:00:00 p.m.,7.381,,,,,
80,12/19/25 08:00:00 p.m.,7.381,,,,,
81,12/19/25 09:00:00 p.m.,7.280,,,,,
82,12/19/25 10:00:00 p.m.,7.179,,,,,
83,12/19/25 11:00:00 p.m.,6.268,,,,,
84,12/20/25 12:00:00 a.m.,6.370,,,,,
85,12/20/25 01:00:00 a.m.,6.268,,,,,
86,12/20/25 02:00:00 a.m.,2.837,,,,,
87,12/20/25 03:00:00 a.m.,1.980,,,,,
88,12/20/25 04:00:00 a.m.,1.980,,,,,
89,12/20/25 05:00:00 a.m.,2.088,,,,,
90,12/20/25 06:00:00 a.m.,1.872,,,,,
91,12/20/25 07:00:00 a.m.,2.730,,,,,
92,12/20/25 08:00:00 a.m.,6.877,,,,,
93,12/20/25 09:00:00 a.m.,9.768,,,,,
94,12/20/25 09:30:04 a.m.,,0.4,,,,
95,12/20/25 09:39:27 a.m.,,0.6,,,,
96,12/20/25 09:43:43 a.m.,,0.8,,,,
97,12/20/25 10:00:00 a.m.,9.965,,,,,
98,12/20/25 10:04:17 a.m.,,1.0,,,,
99,12/20/25 10:32:26 a.m.,,1.2,,,,
100,12/20/25 11:00:00 a.m.,11.041,,,,,
101,12/20/25 11:22:11 a.m.,,1.4,,,,
102,12/20/25 12:00:00 p.m.,13.076,,,,,
103,12/20/25 12:46:22 p.m.,,1.6,,,,
104,12/20/25 01:00:00 p.m.,12.304,,,,,
105,12/20/25 01:05:00 p.m.,,1.8,,,,
106,12/20/25 01:08:59 p.m.,,2.0,,,,
107,12/20/25 01:20:51 p.m.,,2.2,,,,
108,12/20/25 02:00:00 p.m.,15.187,,,,,
109,12/20/25 02:11:02 p.m.,,2.4,,,,
110,12/20/25 02:20:01 p.m.,,2.6,,,,
111,12/20/25 03:00:00 p.m.,11.916,,,,,
112,12/20/25 04:00:00 p.m.,13.846,,,,,
113,12/20/25 05:00:00 p.m.,10.846,,,,,
114,12/20/25 06:00:00 p.m.,7.381,,,,,
115,12/20/25 07:00:00 p.m.,5.757,,,,,
116,12/20/25 08:00:00 p.m.,4.207,,,,,
117,12/20/25 09:00:00 p.m.,3.893,,,,,
118,12/20/25 10:00:00 p.m.,3.155,,,,,
119,12/20/25 11:00:00 p.m.,2.410,,,,,
120,12/21/25 12:00:00 a.m.,3.049,,,,,
121,12/21/25 01:00:00 a.m.,3.683,,,,,
122,12/21/25 02:00:00 a.m.,4.102,,,,,
123,12/21/25 03:00:00 a.m.,4.415,,,,,
124,12/21/25 04:00:00 a.m.,4.519,,,,,
125,12/21/25 05:00:00 a.m.,4.831,,,,,
126,12/21/25 06:00:00 a.m.,4.934,,,,,
127,12/21/25 07:00:00 a.m.,6.166,,,,,
128,12/21/25 08:00:00 a.m.,12.110,,,,,
129,12/21/25 09:00:00 a.m.,20.996,,,,,
130,12/21/25 10:00:00 a.m.,18.806,,,,,
131,12/21/25 11:00:00 a.m.,17.379,,,,,
132,12/21/25 12:00:00 p.m.,18.521,,,,,
133,12/21/25 01:00:00 p.m.,19.282,,,,,
134,12/21/25 02:00:00 p.m.,17.189,,,,,
135,12/21/25 03:00:00 p.m.,14.613,,,,,
136,12/21/25 04:00:00 p.m.,12.594,,,,,
137,12/21/25 05:00:00 p.m.,9.768,,,,,
138,12/21/25 06:00:00 p.m.,7.882,,,,,
139,12/21/25 07:00:00 p.m.,6.674,,,,,
140,12/21/25 08:00:00 p.m.,6.268,,,,,
141,12/21/25 09:00:00 p.m.,6.471,,,,,
142,12/21/25 10:00:00 p.m.,5.347,,,,,
143,12/21/25 11:00:00 p.m.,5.244,,,,,
144,12/22/25 12:00:00 a.m.,5.962,,,,,
145,12/22/25 01:00:00 a.m.,5.962,,,,,
146,12/22/25 02:00:00 a.m.,6.166,,,,,
147,12/22/25 03:00:00 a.m.,5.860,,,,,
148,12/22/25 04:00:00 a.m.,5.757,,,,,
149,12/22/25 05:00:00 a.m.,5.244,,,,,
